entity_id,eia_location,confidence,n_months,pearson_raw,pearson_raw_p,spearman_raw,spearman_raw_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p,best_lag,best_lag_corr
USGS-02314500,GA,high,269,0.3652042922356297,6.551461900974742e-10,0.4091956574007287,2.780076282760589e-12,0.35278419066359806,2.655411951611294e-09,0.35293236420129825,2.612367732692907e-09,0,0.35293236420129825
USGS-02358000,FL,high,259,0.6307033095483134,3.909718174032497e-30,0.670242934883185,3.831895889303709e-35,0.49037779266976733,4.47580513203799e-17,0.4901244256924597,4.6702391493926713e-17,0,0.4901244256924597
USGS-02479000,SAT,low,197,0.5637808185049153,6.368071025508349e-18,0.6650703659405618,1.5973964929608103e-26,0.35085971867387933,4.307672175490738e-07,0.4610107079287646,9.281226031551799e-12,0,0.4610107079287646
USGS-03161000,NC,high,269,0.6922387737644791,1.0531002996389007e-39,0.7348301861202043,6.338649228868899e-47,0.6807367606749493,5.774823360573372e-38,0.7058425345392,7.19814189533178e-42,0,0.7058425345392
USGS-03219500,OH,high,268,-0.385762366081197,6.127700282046735e-11,-0.2661586599395155,1.001888560687742e-05,-0.2525761483576887,2.8698976764909815e-05,-0.181702905214124,0.0028302885269494873,0,-0.181702905214124
USGS-03294500,KY,high,269,0.27237959233723513,5.827756608238716e-06,0.31295443476545404,1.5955710072949632e-07,0.1984797513135878,0.0010649864638076045,0.2410037791217395,6.514143853290864e-05,0,0.2410037791217395
USGS-03612000,IL,high,258,0.12177753118738582,0.05072294910362579,0.20763578061560142,0.0007920041101619686,0.11292381926480799,0.07016967545433513,0.1450149168002756,0.019790029938692392,0,0.1450149168002756
USGS-05331000,MN,high,267,0.52021906434564,6.459603840443286e-20,0.6335491167966874,2.2795021396786447e-31,0.48214028181234286,5.990454514183771e-17,0.5143270720823524,1.967576313630002e-19,0,0.5143270720823524
USGS-05474000,IA,high,268,0.20437879446537738,0.0007632675342027889,0.33067832966838806,2.9411577574852495e-08,0.11900827198939681,0.051647029957935534,0.12021218829622822,0.049310817715867226,1,0.13104306128393262
USGS-05587450,IL,high,258,0.35131531832235796,6.5709874138384974e-09,0.4206034569802554,1.7516846984110056e-12,0.1915226707068179,0.0020013862868100514,0.2216794790317548,0.00033302591939158644,0,0.2216794790317548
USGS-06478500,SD,high,269,0.3144955105247927,1.376384253478062e-07,0.28137996510631474,2.751398487223359e-06,0.32100508480967627,7.305059023033693e-08,0.15473376611366954,0.01104322179579118,2,0.25684200439048316
USGS-06486000,NE,high,268,0.47903649812417193,8.83087757899904e-17,0.5592604206734589,1.8723203715883877e-23,0.5089507057395012,4.5847496638303715e-19,0.5611924089506104,1.2265560924497622e-23,0,0.5611924089506104
USGS-06610000,NE,high,268,0.4725336790366532,2.592796041552559e-16,0.525159339208708,2.120499760554198e-20,0.49041412079578905,1.2684976369013036e-17,0.5028079761391056,1.4089664552494696e-18,0,0.5028079761391056
USGS-06800500,NE,high,268,0.14232072572289534,0.019759816217077994,0.13070566677685833,0.032441621507729,0.15014990587097865,0.013872994421423307,0.09950892960118997,0.10406592221005852,2,0.16229411774082225
USGS-06934500,MO,high,269,0.6789442849191065,1.0602388951170327e-37,0.6786569013667721,1.1682454735532163e-37,0.6021711520220776,6.220940051756569e-28,0.6060835845555371,2.288227373853649e-28,0,0.6060835845555371
USGS-07010000,MO,high,269,0.675163272643677,3.766044199406817e-37,0.6461728911472596,3.457717098764136e-33,0.5802062475762115,1.3340152784392139e-25,0.526124643202821,1.4910577123493246e-20,0,0.526124643202821
USGS-07058000,MO,high,269,0.48311324961270263,3.8827069611691877e-17,0.6329476993661706,1.6125273132953607e-31,0.45843998170381994,2.1982052611889825e-15,0.4923486655939632,7.866486121283732e-18,0,0.4923486655939632
USGS-07338500,OK,high,269,0.5692278706021251,1.6819876747445333e-24,0.5504133607057647,1.0453935605090445e-22,0.5129072900450293,1.88332084219514e-19,0.4407164918899924,3.286749575804015e-14,0,0.4407164918899924
USGS-08279500,NM,high,252,0.3102357585676979,5.037365668130949e-07,0.19993419557913994,0.0014210023194045078,0.12419142467010119,0.048917895796773796,0.08482132909492744,0.17952382977165285,2,0.18838521047019152
USGS-09070500,CO,high,269,0.4279615499143839,2.09347861660039e-13,0.3849137806805209,6.265703605590538e-11,0.13981308506278323,0.0218075182882424,0.14917235384416205,0.014328027821376977,0,0.14917235384416205
USGS-09180500,UT,high,267,0.47758323227659905,1.2835633385427035e-16,0.3546620197987842,2.4765524152827645e-09,0.21074431234991275,0.0005273878003122656,0.14922788272038473,0.014661077256746308,2,0.23242368356568954
USGS-09315000,UT,high,267,0.6136548170541944,5.110862692739195e-29,0.5993829114123561,1.9710754631152123e-27,0.4821055220186008,6.025636273346966e-17,0.40468856192132185,6.0646892361960476e-12,1,0.42174601226407127
USGS-09380000,AZ,high,269,0.7346292694767413,6.907355283916084e-47,0.650554631153299,9.279999318483696e-34,0.6140745797049203,2.8407396922278915e-29,0.4921772796488437,8.10661040379353e-18,0,0.4921772796488437
USGS-09510000,AZ,high,269,-0.09903469022768129,0.10507935742166546,-0.12895039330929406,0.03452139361058785,-0.010691339475914483,0.8614415550798896,-0.08237745596675852,0.17795138745877515,2,0.09279025166471436
USGS-09512500,AZ,high,269,-0.1026830964598398,0.09281522392311288,0.08124371944490683,0.1840169461468943,-0.06266490135699364,0.3058346266656817,-0.15072900676296336,0.013331743649081337,0,-0.15072900676296336
USGS-10109000,UT,high,267,0.6543949209330826,5.052191968943293e-34,0.670315105795759,3.392893442145985e-36,0.5573952097331967,3.389900906307145e-23,0.49478362180816793,6.8076585165685656e-18,1,0.5024759269383975
USGS-10310000,CA,high,269,0.6185567935915827,8.586193397403641e-30,0.6027452576029394,5.376420834299781e-28,0.4660020430563858,6.603184641488118e-16,0.3495305381395377,3.793683392833917e-09,2,0.3822254781680009
USGS-10338000,CA,high,269,0.5579584919703848,2.0592175104336858e-23,0.6246684791655107,1.627957073505336e-30,0.3246195776284016,5.10533702418564e-08,0.2683108620466441,8.111403516787966e-06,0,0.2683108620466441
USGS-10346000,CA,high,269,0.6574506129539988,1.119915395745289e-34,0.7335652489666453,1.0873285992186971e-46,0.48818600268584483,1.6251294914000144e-17,0.3628443901927783,8.587025284946956e-10,0,0.3628443901927783
USGS-11251000,CA,high,269,0.5113574506612941,2.5174596235208073e-19,0.3547091062654509,2.1460564321055712e-09,0.2251019937005197,0.00019714788845000115,0.0846905497296664,0.16603736047242854,2,0.09171154449935001
USGS-11383500,CA,high,269,0.32076056934811126,7.483009057730388e-08,0.25947805265464385,1.632646292121837e-05,0.529411775055317,7.798741065932379e-21,0.4294950279581029,1.6825571912839806e-13,1,0.43823902915562946
USGS-11425500,CA,high,269,0.49255905975331427,7.58123687001315e-18,0.5430370673024453,4.920659481810077e-22,0.5842105283913835,5.167473677906014e-26,0.5942252800434012,4.5482756869437046e-27,0,0.5942252800434012
USGS-11467000,CA,high,269,0.1388872405856674,0.02270481538047825,0.0467254804046681,0.44534230745947223,0.43767868396670434,5.1445495437405766e-14,0.44979933048512083,8.380744348378682e-15,0,0.44979933048512083
USGS-11478500,CA,high,269,0.011886804579279332,0.8461311997162908,-0.05669977251290018,0.35425877080330503,0.33515388774254584,1.7490261891919705e-08,0.2656812384301015,1.0015444227123597e-05,2,0.3496512247914855
USGS-11522500,CA,high,269,0.31710852931946537,1.0692779034827187e-07,0.21442046274205181,0.0003976164437512035,0.4724511315525056,2.3120691597360683e-16,0.40662486822393606,3.9133727901688925e-12,2,0.41035634533255827
USGS-12010000,WA,high,269,0.08323459809339757,0.17346480353540836,0.15974218128687417,0.008674034087675605,0.2392909210895182,7.366438578253065e-05,0.18665778912130795,0.0021105229647506427,1,0.26834064089144516
USGS-12101500,WA,high,269,0.583559871863343,6.033819141447117e-26,0.6659066294775627,7.755015037174312e-36,0.38549018439394417,5.836031910822979e-11,0.3565980506389983,1.7388978098121287e-09,1,0.3728986744154005
USGS-12113000,WA,high,269,0.375687927343695,1.9171937986304432e-10,0.4170557400506409,9.595996108294557e-13,0.3794102317335962,1.2261253510331954e-10,0.3179459452961293,9.856618851804937e-08,1,0.31894862166580007
USGS-12194000,WA,high,269,0.618258812922783,9.302626607989273e-30,0.6666463222918861,6.114177621662764e-36,0.42391041421673215,3.7091560587432463e-13,0.40663966413286723,3.905711934899262e-12,0,0.40663966413286723
USGS-13269000,ID,high,269,0.4261274463864151,2.7148325847403647e-13,0.33887661119381984,1.186186556372284e-08,0.3022852194543793,4.338444304418848e-07,0.2683586818630982,8.080194225093444e-06,0,0.2683586818630982
USGS-13336500,ID,high,269,0.5467487242345025,2.267682555441943e-22,0.561171219491144,1.0180773028731211e-23,0.2584679766342006,1.7658207594694818e-05,0.21079423206150166,0.0005007217725110906,0,0.21079423206150166
USGS-14105700,OR,high,269,0.7115430462313006,8.177229825673259e-43,0.6891258358535521,3.170572702005485e-39,0.5792509970786517,1.6694875734031303e-25,0.538794648010673,1.1789788182247578e-21,0,0.538794648010673
