entity_id,eia_location,confidence,n_months,spearman_anom,spearman_anom_p,pearson_anom,best_lag,tier,decoupled,significant
USGS-12010000,WA,high,269,0.1866577891213079,0.0021105229647506,0.2392909210895182,1,weak,True,True
USGS-03219500,OH,high,268,-0.181702905214124,0.0028302885269494,-0.2525761483576887,0,weak,True,True
USGS-06478500,SD,high,269,0.1547337661136695,0.0110432217957911,0.3210050848096762,2,weak,True,True
USGS-02231000,FL,high,259,0.1537812251808706,0.0132247448087127,0.1609988235123536,0,weak,True,True
USGS-09512500,AZ,high,269,-0.1507290067629633,0.0133317436490813,-0.0626649013569936,0,not_significant,True,False
USGS-09180500,UT,high,267,0.1492278827203847,0.0146610772567463,0.2107443123499127,2,weak,True,True
USGS-09070500,CO,high,269,0.149172353844162,0.0143280278213769,0.1398130850627832,0,weak,True,True
USGS-03612000,IL,high,258,0.1450149168002756,0.0197900299386923,0.1129238192648079,0,not_significant,True,False
USGS-05474000,IA,high,268,0.1202121882962282,0.0493108177158672,0.1190082719893968,1,not_significant,True,False
USGS-06800500,NE,high,268,0.0995089296011899,0.1040659222100585,0.1501499058709786,2,not_significant,True,False
USGS-08279500,NM,high,252,0.0848213290949274,0.1795238297716528,0.1241914246701011,2,not_significant,True,False
USGS-11251000,CA,high,269,0.0846905497296664,0.1660373604724285,0.2251019937005197,2,not_significant,True,False
USGS-09510000,AZ,high,269,-0.0823774559667585,0.1779513874587751,-0.0106913394759144,2,not_significant,True,False
